(Proteins Complexes Compounds),Object ID,Gene
protein disulfide isomerase/protein disulfide oxidoreductase - DsbC<sub>reduced</sub>,DSBC-CPLX,
"ornithine decarboxylase, degradative",ORNDECARBOXDEG-MONOMER,speF
5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase,CPLX0-1541,
lipopolysaccharide glucosyltransferase I,EG11339-MONOMER,waaG
Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,CPLX0-7928,
flagellar biosynthesis protein FliJ,G378-MONOMER,fliJ
thymidine phosphorylase,DEOA-CPLX,
<i>trans</i>-&Delta;<sup>3</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP,TRANS-DELTA3-CIS-DELTA5-DODECENOYL-ACP,acpP
HslU hexamer,CPLX0-1161,
DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,G6570-MONOMER,bhsA
glutamate&mdash;pyruvate aminotransferase AlaA,CPLX0-7888,
protein YfdX,G7238-MONOMER,yfdX
"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",CPLX0-921,
maltose ABC transporter membrane subunit MalF,MALF-MONOMER,malF
"curli transport specificity factor"" // ""curli secretion channel",CPLX-3945,
protein YrdA,G7696-MONOMER,yrdA
"sulfite reductase, flavoprotein subunit complex",CPLX0-7841,
UMP phosphatase,EG10634-MONOMER,umpH
DNA-binding transcriptional repressor FrmR,CPLX0-8234,
murein hydrolase activator NlpD,EG12111-MONOMER,nlpD
&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase,CPLX-154,
nucleoside:H<sup>+</sup> symporter NupC,NUPC-MONOMER,nupC
protoporphyrinogen oxidase,CPLX0-7811,
Qin prophage; uncharacterized protein YdfC,EG11302-MONOMER,ydfC
fructoselysine 6-phosphate deglycase,CPLX0-821,
tRNA uridine 4-sulfurtransferase,THII-MONOMER,thiI
biotin carboxylase,BIOTIN-CARBOXYL-CPLX,
"<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity",G6550-MONOMER,ymdB
"fructose 1,6-bisphosphatase YggF",CPLX0-7776,
CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,G7220-MONOMER,yfdH
Z-ring inhibitor complex MinCD,CPLX0-8188,
L-serine deaminase I,LSERINEDEAM1-MONOMER,sdaA
fused aspartate kinase/homoserine dehydrogenase 2,ASPKINIIHOMOSERDEHYDROGII-CPLX,
DUF2527 domain-containing protein YobF,G7000-MONOMER,yobF
DNA-binding transcriptional repressor ArsR,CPLX0-7734,
DUF386 domain-containing protein YhcH,G7675-MONOMER,yhcH
DNA-binding transcriptional repressor PaaX,CPLX0-7731,
GroES cochaperonin,EG10600-MONOMER,groS
molybdopterin-synthase adenylyltransferase,CPLX0-8164,
EG12069-MONOMER,EG12069-MONOMER,mqo
L-arabinose isomerase,ARABISOM-CPLX,
putative menaquinol-cytochrome <i>c</i> reductase 4Fe-4S subunit,NRFC-MONOMER,nrfC
DNA-binding transcriptional repressor MarR,CPLX0-7710,
DNA mismatch repair protein MutL,EG11281-MONOMER,mutL
aminopeptidase B,CPLX0-8122,
fumarase A,FUMA-MONOMER,fumA
phosphoribosylformylglycinamide cyclo-ligase,AIRS-CPLX,
methyl-accepting chemotaxis protein Tar,TAR-MONOMER,tar
UDP-glucose 4-epimerase,UDPGLUCEPIM-CPLX,
G6530-MONOMER,G6530-MONOMER,pgaB
cell division factor ZapB,CPLX0-7686,
DUF2544 domain-containing protein YfcO,G7203-MONOMER,yfcO
methyl-accepting chemotaxis protein - serine-sensing,CPLX0-8103,
lactose permease,LACY-MONOMER,lacY
acetylglutamate kinase,ACETYLGLUTKIN-CPLX,
DUF1971 domain-containing protein YeaR,G6983-MONOMER,yeaR
sensory histidine kinase TorS,TORS-CPLX,
putative luciferase-like monooxygenase,G7654-MONOMER,yhbW
fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase,CPLX0-7659,
reduced flavorubredoxin,CPLX0-1,
murein lipoprotein,EG10544-MONOMER,lpp
acetyl-CoA:oxalate CoA-transferase,CPLX0-8032,
adenosylmethionine-8-amino-7-oxononanoate aminotransferase,DAPASYN-MONOMER,bioA
glutathione / L-cysteine ABC exporter CydDC,ABC-6-CPLX,
putative sugar kinase YeiI,EG12028-MONOMER,yeiI
succinate:quinone oxidoreductase subcomplex,SUCC-DEHASE,
nicotinamidase,NICOTINAMID-MONOMER,pncA
L-fuculose-phosphate aldolase,CPLX0-7633,
endoribonuclease toxin MazF,EG11249-MONOMER,mazF
"glycine betaine ABC transporter, non-osmoregulatory",ABC-40-CPLX,
fructose-bisphosphate aldolase class II,FRUCTBISALD-CLASSII-MONOMER,fbaA
ribonucleoside-diphosphate reductase 1,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,
putative lipoprotein GfcB,G6507-MONOMER,gfcB
predicted carboxysome structural protein,CPLX0-7613,
dCMP phosphohydrolase,G7185-MONOMER,yfbR
"putative transport complex, ABC superfamily",ABC-21-CPLX,
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase,KDO-8PSYNTH-MONOMER,kdsA
amidophosphoribosyltransferase,PRPPAMIDOTRANS-CPLX,
conserved protein YeaD,G6966-MONOMER,yeaD
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,CPLX0-7525,
<i>holo</i> EntB,HOLO-ENTB,entB
putative fimbrial chaperone YraI,G7638-MONOMER,yraI
6-phosphofructokinase I,6PFK-1-CPX,
"hydrogenase maturation protein, carbamoyl dehydratase",EG10487-MONOMER,hypE
sensory histidine kinase PhoR,PHOR-CPLX,
cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit I,CYOB-MONOMER,cyoB
tRNA Cm32/Um32 methyltransferase,CPLX0-7420,
DNA-binding transcriptional activator BtsR,EG12006-MONOMER,btsR
DNA-binding transcriptional repressor TrpR,PC00007,
<I>Eco</I>KI restriction-modification system,CPLX0-3958,
nucleoside diphosphate kinase,NUCLEOSIDE-DIP-KIN-CPLX,
GroEL-GroES chaperonin complex,CPLX0-3934,
N-acetylglutamate synthase,N-ACETYLTRANSFER-CPLX,
HypA-HypB heterodimer,CPLX0-3821,
lysine&mdash;tRNA ligase/Ap<sub>4</sub>A synthetase/Ap<sub>3</sub>A synthetase,LYSU-CPLX,
"RhlB, ATP-dependent RNA helicase of the RNA degradosome",CPLX0-3541,
catalase II,HYDROPEROXIDII-CPLX,
putative c-di-GMP binding protein CdgI,G6971-MONOMER,cdgI
peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,CPLX0-3201,
DNA-binding transcriptional activator ZraR,HYDG-MONOMER,zraR
UPF0102 family protein YraN,G7643-MONOMER,yraN
glutamate-1-semialdehyde aminotransferase,GSAAMINOTRANS-CPLX,
sensory histidine kinase ZraS,HYDH-MONOMER,zraS
translation initiation factor IF-3,EG10506-MONOMER,infC
peptidase D,CPLX0-3001,
sulfate adenylyltransferase subunit 1,CYSN-MONOMER,cysN
glutamate decarboxylase A,GLUTDECARBOXA-CPLX,
putative inner membrane protein,EG12016-MONOMER,yohC
DNA-binding transcriptional dual regulator ModE,CPLX0-2541,
nitrate reductase A subunit &gamma;,NARI-MONOMER,narI
UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase,CPLX0-8013,
shikimate dehydrogenase / quinate dehydrogenase,EG11234-MONOMER,ydiB
galactose-1-phosphate uridylyltransferase,GALACTURIDYLYLTRANS-CPLX,
flavin reductase,FMNREDUCT-MONOMER,fre
dimer of DNA topoisomerase IV subunit A,CPLX0-2423,
flagellar biosynthesis protein FliO,EG11224-MONOMER,fliO
dTDP-4-dehydro-6-deoxy-D-glucose transaminase,CPLX0-7990,
flagellar motor switch protein FliG,FLIG-FLAGELLAR-SWITCH-PROTEIN,fliG
"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",FOLD-CPLX,
thiamin ABC transporter ATP binding subunit,SFUC-MONOMER,thiQ
FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase,CPLX0-225,
intermembrane transport lipoprotein PqiC,G6492-MONOMER,pqiC
cell division factor ZapD,CPLX0-7973,
G7170-MONOMER,G7170-MONOMER,arnT
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",ENTA-CPLX,
catalase II,HYDROPEROXIDII-MONOMER,katE
energy transducing Ton complex,CPLX0-1923,
DedA family protein YdjZ,G6947-MONOMER,ydjZ
ribosomal protein S6 modification protein,CPLX0-7946,
putative inner membrane protein,G7618-MONOMER,yhaI
"dimethyl sulfoxide reductase subunit A"" // ""dimethyl sulfoxide reductase subunit B"" // ""dimethyl sulfoxide reductase subunit C",DIMESULFREDUCT-CPLX,
"molecular chaperone, HSP90 family",EG10461-MONOMER,htpG
serine protease inhibitor ecotin,CPLX0-1441,
3-deoxy-<i>manno</i>-octulosonate cytidylyltransferase,CPM-KDOSYNTH-MONOMER,kdsB
nucleoid occlusion factor SlmA,CPLX0-7922,
"lipopolysaccharide biosynthesis protein, N-terminal fragment",EG11986-MONOMER,wbbL_1
adenosylmethionine-8-amino-7-oxononanoate aminotransferase,DAPASYN-CPLX,
"NAD synthetase, NH<sub>3</sub>-dependent",NAD-SYNTH-MONOMER,nadE
23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase,CPLX0-1121,
conserved protein YigA,EG11201-MONOMER,yigA
"1,4-dihydroxy-2-naphthoyl-CoA synthase",CPLX0-7882,
ferric enterobactin ABC transporter periplasmic binding protein,FEPB-MONOMER,fepB
ClpA ATP-dependent protease specificity component and chaperone,CPLX0-881,
SARCOX-MONOMER,SARCOX-MONOMER,solA
hydroxypyruvate isomerase,CPLX-171,
UPF0434 family protein YcaR,G6472-MONOMER,ycaR
PEP synthetase regulatory protein,CPLX0-7837,
putative c-di-GMP phosphodiesterase PdeN,G7148-MONOMER,pdeN
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,CPLX0-8231,
cobalamin-dependent methionine synthase,HOMOCYSMETB12-MONOMER,metH
pantetheine-phosphate adenylyltransferase,COADTRI-CPLX,
anti-FlhDC factor,G6925-MONOMER,ydiV
putative multidrug efflux pump MdtNOP,CPLX0-7807,
ribosome-dependent mRNA interferase toxin HigB,G7602-MONOMER,higB
"dihydroxyacetone kinase, phosphotransferase component/protein-acetyllysine deacetylase",CPLX0-8206,
DNA gyrase subunit B,EG10424-MONOMER,gyrB
betaine aldehyde dehydrogenase,BADH-CPLX,
CITC-MONOMER,CITC-MONOMER,citC
aconitate hydratase A,CPLX0-7760,
DNA-binding transcriptional dual regulator LldR,EG11962-MONOMER,lldR
conserved protein,CPLX0-8185,
"citrate lyase, inactive",CITLY-CPLX,
uncharacterized protein YncL,MONOMER0-761,yncL
"aspartate carbamoyltransferase, regulatory subunit",ASPCARBREG-DIMER,
ribosome maturation factor RimP,EG11179-MONOMER,rimP
aspartate aminotransferase,ASPAMINOTRANS-DIMER,
&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase,FABA-MONOMER,fabA
23S rRNA m<sup>5</sup>C1962 methyltransferase,CPLX0-7726,
D-alanyl-D-alanine carboxypeptidase DacD,RPOA-MONOMER,dacD
putrescine aminotransferase,CPLX0-8159,
<i>N</i>-acetylmuramoyl-L-alanine amidase D,G6452-MONOMER,amiD
acid phosphatase / phosphotransferase,APHA-CPLX,
phage protein D,G7120-MONOMER,yegZ
NikR-Ni DNA-binding transcriptional repressor,CPLX0-7707,
HEMEOSYN-MONOMER,HEMEOSYN-MONOMER,cyoE
putative PTS enzyme II FryBCA,CPLX0-8119,
L-cysteine desulfurase,G6906-MONOMER,sufS
aldehyde-alcohol dehydrogenase,ADHE-CPLX,
DUF1249 domain-containing protein YqiB,G7580-MONOMER,yqiB
tyrosine aminotransferase,TYRB-DIMER,
putative lipid II flippase FtsW,EG10344-MONOMER,ftsW
sulfoquinovose isomerase,CPLX0-7683,
"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component",CELA-MONOMER,chbB
peptide antibiotic/peptide nucleic acid transporter,CPLX0-8097,
phage shock protein G,EG11933-MONOMER,pspG
"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit"" // ""acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",ACETOLACTSYNIII-CPLX,
"RNA polymerase holoenzyme assembly factor Crl, N-terminal fragment",MONOMER0-4385,crl_1
threonine&mdash;tRNA ligase,THRS-CPLX,
conserved protein PpdB,EG11156-MONOMER,ppdB
maltose outer membrane porin / phage lambda receptor protein,CPLX0-7655,
EMRD-MONOMER,EMRD-MONOMER,emrD
ethanol dehydrogenase / alcohol dehydrogenase,CPLX0-8015,
rhamnulose-1-phosphate aldolase,RHAMNULPALDOL-MONOMER,rhaD
"2,3-dihydroxybenzoyl-EntB",CPLX0-7849,
multidrug ABC exporter,ABC-57-CPLX,
ribosomal protein S12 methylthiotransferase RimO,G6435-MONOMER,rimO
sorbitol-6-phosphate 2-dehydrogenase,SORB6PDEHYDROG-CPLX,
putative colanic acid biosynthesis glycosyl transferase,G7100-MONOMER,wcaE
multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,CPLX0-7630,
glutathione <i>S</i>-transferase GstA,GST-MONOMER,gstA
<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter,ABC-34-CPLX,
conserved protein YdhL,G6888-MONOMER,ydhL
rhamnulose-1-phosphate aldolase,RHAMNULPALDOL-CPLX,
putative hydrolase fragment,G7557-MONOMER,yghX_2
"5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit"" // ""5-carboxymethylaminomethyluridine-tRNA syntase subunit MnmG",CPLX0-7609,
regulator for fimA,EG10309-MONOMER,fimB
molybdate ABC transporter,ABC-19-CPLX,
putative transferase CaiE,CAIE-MONOMER,caiE
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",PPPGPPHYDRO-CPLX,
DUF1481 domain-containing protein YjaH,EG11917-MONOMER,yjaH
alanine racemase 2,CPLX0-7465,
putative oxidoreductase,EG11134-MONOMER,ydjA
3-isopropylmalate dehydratase,3-ISOPROPYLMALISOM-CPLX,
putative lipoprotein YajI,EG12874-MONOMER,yajI
phosphoglycerate dehydrogenase,PGLYCDEHYDROG-CPLX,
PYRUFLAVREDUCT-MONOMER,PYRUFLAVREDUCT-MONOMER,
lipid A disaccharide synthase,CPLX0-7415,
lipoyl-ACP,LIPOYL-ACP,
putative iron siderophore outer membrane transporter,G6414-MONOMER,fiu
AraC DNA-binding transcriptional dual regulator,PC00003,
CP4-44 prophage; RadC-like JAB domain-containing protein YeeS,G7082-MONOMER,yeeS
50S ribosomal subunit protein L7/L12 dimer,CPLX0-3955,
serine hydroxymethyltransferase,GLYOHMETRANS-MONOMER,glyA
"ribonucleoside-diphosphate reductase 2, &alpha; subunit dimer",NRDE-CPLX,
H-NS- and StpA-binding protein,G6869-MONOMER,cnu
ATP-dependent DNA helicase Rep,CPLX0-3931,
"putative secretion pathway protein, L-type protein (pseudogene)",G7536-MONOMER,yghE
MtlR-HPr,MONOMER0-2461,
multidrug efflux pump membrane fusion protein AcrE,EG10266-MONOMER,acrE
"DNA polymerase III, preinitiation complex",CPLX0-3801,
3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP,BETA-KETO-CIS-DELTA5-DODECENOYL-ACP,acpP
"6,7-dimethyl-8-ribityllumazine synthase",LUMAZINESYN-CPLX,
putative sulfurtransferase YeeD,EG11894-MONOMER,yeeD
aldehyde dehydrogenase B,CPLX0-3482,
IS3 element protein InsE,MONOMER0-4244,insE-4
homoserine <i>O</i>-succinyltransferase,HOMSUCTRAN-CPLX,
23S rRNA pseudouridine<sup>955/2504/2580</sup> synthase,EG11118-MONOMER,rluC
putative quinol monooxygenase YgiN,CPLX0-3141,
conserved inner membrane protein YbaN,EG12843-MONOMER,ybaN
GMP reductase,GMP-REDUCT-CPLX,
phosphate ABC transporter membrane subunit PstA,PSTA-MONOMER,pstA
"protease IV, a signal peptide peptidase",CPLX0-2941,
putative fimbrial chaperone YbgP,G6386-MONOMER,ybgP
glutamine synthetase,GLUTAMINESYN-OLIGOMER,
periplasmic protein-L-methionine sulfoxide reductase catalytic subunit,G7059-MONOMER,msrP
MoaB protein,CPLX0-2521,
glutamyl-tRNA reductase,GLUTRNAREDUCT-MONOMER,hemA
carboxy-<i>S</i>-adenosyl-L-methionine synthase,CPLX0-8010,
putative selenate reductase YnfE,G6845-MONOMER,ynfE
"fumarate reductase flavoprotein subunit"" // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein FrdC"" // ""fumarate reductase membrane protein FrdD",FUMARATE-REDUCTASE,
putative zinc-binding dehydrogenase YggP,G7520-MONOMER,yggP
"tryptophan synthase, &beta; subunit dimer",CPLX0-2401,
putative flagella assembly protein,EG10229-MONOMER,flk
predicted enamine/imine deaminase,CPLX0-7987,
B2170-MONOMER,B2170-MONOMER,setB
aerobic fatty acid oxidation complex,FAO-CPLX,
DUF1454 domain-containing protein YiiQ,EG11874-MONOMER,yiiQ
The Tol-Pal Cell Envelope Complex,CPLX0-2201,
IS1 protein InsA,MONOMER0-4228,insA-4
K<sup>+</sup> channel Kch,KCH-MONOMER,kch
multidrug / betaine / choline efflux pump EmrE,CPLX0-7963,
putative zinc-binding dehydrogenase YdjJ,G6961-MONOMER,ydjJ
EG11095-MONOMER,EG11095-MONOMER,acpH
putative tagatose-6-phosphate aldose/ketose isomerase,G7634-MONOMER,agaS
L-ascorbate specific PTS enzyme II,EIISGA,
hydrogenase isoenzymes nickel incorporation protein HypB,EG10484-MONOMER,hypB
DNA-binding transcriptional activator TtdR,EG12694-MONOMER,ttdR
glutathione/L-cysteine ABC exporter subunit CydD,CYDD-MONOMER,cydD
predicted xanthine dehydrogenase,CPLX0-1841,
protein YehQ,EG12003-MONOMER,yehQ
osmolyte:H<sup>+</sup> symporter ProP,PROP-MONOMER,proP
periplasmic nitrate reductase cytochrome c<SUB>550</SUB> protein,NAPB-MONOMER,napB
Grx4-BolA complex,CPLX0-7942,
DUF2501 domain-containing protein YjjA,EG11214-MONOMER,yjjA
CorC-HlyC family protein YbeX,G6361-MONOMER,ybeX
flagellar basal-body rod protein FlgF,FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,flgF
4-hydroxy-tetrahydrodipicolinate reductase,DIHYDROPICRED-CPLX,
Sec translocon subunit SecY,SECY,secY
putative transport protein YrbG,YRBG-MONOMER,yrbG
cell division protein ZapC,G6486-MONOMER,zapC
sulfur acceptor for SufS cysteine desulfurase,CPLX0-1342,
putative lipopolysaccharide core heptose(II)-phosphate phosphatase,G7165-MONOMER,ais
cystine/cysteine ABC transporter membrane subunit,G7037-MONOMER,tcyL
"formate hydrogenlyase complex, hydrogenase 3 subunit HycE",HYCELARGE-MONOMER,hycE
RcsB-BglJ DNA-binding transcriptional activator,CPLX0-7916,
endonuclease of nucleotide excision repair,G6937-MONOMER,cho
"D-gluconate kinase, thermostable",GLUCONOKINII-MONOMER,gntK
conserved inner membrane protein YqjE,G7613-MONOMER,yqjE
cytidine/deoxycytidine deaminase,CYTIDEAM-CPLX,
periplasmic chaperone,EG10455-MONOMER,skp
Qin prophage; protein YdfR,G6828-MONOMER,ydfR
CODB-MONOMER,CODB-MONOMER,codB
2-methylisocitrate lyase,CPLX0-1021,
flagellar biosynthesis protein FliR,EG11977-MONOMER,fliR
putative oxidoreductase,G7499-MONOMER,ygfM
N-ACETYLGLUTPREDUCT-MONOMER,N-ACETYLGLUTPREDUCT-MONOMER,argC
glucose-6-phosphate isomerase,CPLX0-7877,
UPF0701 family protein YicC,EG11192-MONOMER,yicC
peptide transporter induced by carbon starvation,EG10167-MONOMER,cstA
ferric citrate ABC transporter periplasmic binding protein,FECB-MONOMER,fecB
amino acid racemase,CPLX0-8251,
putative periplasmic binding protein SapA,SAPA-MONOMER,sapA
putative transport protein YdcO,B1433-MONOMER,ydcO
putative LysR-type transcriptional regulator YcaN,G6467-MONOMER,ycaN
trehalose-specific PTS enzyme II,CPLX-168,
periplasmic protein involved in nickel/cobalt export,G7139-MONOMER,rcnB
6-deoxy-6-sulfofructose-1-phosphate aldolase,EG11846-MONOMER,yihT
histidinol-phosphate aminotransferase,HISTPHOSTRANS-MONOMER,hisC
carboxylate-amine ligase,CPLX0-7827,
conserved protein YdiQ,G6920-MONOMER,ydiQ
exodeoxyribonuclease III,EG11073-MONOMER,xthA
putrescine aminotransferase,G7596-MONOMER,patA
HigB translation-dependent mRNA interferase and toxin of the HigB-HigA toxin-antitoxin system,CPLX0-8228,
thiosulfate sulfurtransferase GlpE,EG10395-MONOMER,glpE
ITPase/XTPase,EG12600-MONOMER,yjjX
fused chorismate mutase/prephenate dehydratase,CHORISMUTPREPHENDEHYDRAT-MONOMER,pheA
citrate synthase,CITRATE-SI-SYNTHASE,
putative multidrug efflux pump outer membrane channel,EG11952-MONOMER,mdtP
porphobilinogen synthase,PORPHOBILSYNTH-MONOMER,hemB
NAD kinase,MONOMER0-541,nadK
diguanylate cyclase DgcZ,CPLX0-7802,
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaD subunit",EG11171-MONOMER,tsaD
putative Zn<sup>2+</sup>-dependent alcohol dehydrogenase YbdR,G6335-MONOMER,ybdR
erythronate-4-phosphate dehydrogenase,ERYTHRON4PDEHYDROG-MONOMER,pdxB
"alanine racemase 1, PLP-binding, biosynthetic",CPLX0-8202,
anaerobic ribonucleoside-triphosphate reductase,RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER,nrdD
energy-dependent translational throttle protein EttA,YJJK-MONOMER,ettA
protein YbjN,G6447-MONOMER,ybjN
"ATP synthase F<sub>o</sub> complex"" // ""ATP synthase F<sub>1</sub> complex",ATPSYN-CPLX,
protein YegK,G7111-MONOMER,yegK
putative carbon-nitrogen hydrolase family protein YobB,G7015-MONOMER,yobB
dihydropteroate synthase,H2PTEROATESYNTH-MONOMER,folP
HipB antitoxin / DNA-binding transcriptional repressor,CPLX0-7757,
putative oxidoreductase,G6901-MONOMER,ydhV
glutamine&mdash;tRNA ligase,GLNS-MONOMER,glnS
BOF family protein YgiW,G7574-MONOMER,ygiW
N<sup>6</sup>-L-threonylcarbamoyladenine synthase,CPLX0-8182,
ribosome-recycling factor,EG10335-MONOMER,frr
NAD<sup>+</sup>-dependent succinate semialdehyde dehydrogenase,G6811-MONOMER,sad
heme trafficking system membrane protein CcmB,CCMB-MONOMER,ccmB
asparagine synthetase A,ASNSYNA-CPLX,
putative stress response protein,EG11928-MONOMER,yjbJ
protein YgeQ,G7483-MONOMER,ygeQ
uncharacterized protein YtiA,MONOMER0-4349,ytiA
2-keto-3-deoxy-L-rhamnonate aldolase,CPLX0-7723,
stationary phase translation inhibitor and ribosome stability factor,EG11151-MONOMER,raiA
malonyl-acyl carrier protein methyltransferase,EG10119-MONOMER,bioC
DNA-binding transcriptional dual regulator XylR,EG20253-MONOMER,xylR
Xaa-Pro dipeptidase,CPLX0-8156,
GDP/GTP pyrophosphokinase,RELA-MONOMER,relA
ATP synthase F<sub>1</sub> complex subunit &delta;,ATPH-MONOMER,atpH
putative pyruvate formate lyase,G6426-MONOMER,ybiW
L-asparaginase 1,ANSA-CPLX,
putative colanic biosynthesis glycosyl transferase,G7095-MONOMER,wcaL
DedA family protein YghB,EG11824-MONOMER,yghB
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",GPMA-MONOMER,gpmA
MukF dimer,CPLX0-7698,
DUF1656 domain-containing protein YdhI,G6883-MONOMER,ydhI
uncharacterized protein YqeL,MONOMER0-2877,yqeL
putative ATP-binding protein YghR,G7550-MONOMER,yghR
phosphate signaling protein PhoU,CPLX0-8113,
signal recognition particle protein component,EG10300-MONOMER,ffh
nucleoside-specific channel-forming protein Tsx,EG11035-MONOMER,tsx
vitamin B<sub>12</sub> ABC transporter ATP binding subunit,BTUD-MONOMER,btuD
adenylosuccinate synthetase,ADENYLOSUCCINATE-SYN-DIMER,
putative PTS enzyme IIB component FrwD,EG11912-MONOMER,frwD
DNA-binding transcriptional repressor PuuR,EG12431-MONOMER,puuR
IS2 element transposase InsAB',MONOMER0-4255,insCD-2
tryptophan&mdash;tRNA ligase,TRPS-CPLX,
Qin prophage; protein Rem,EG11129-MONOMER,rem
PHOSMANMUT-MONOMER,PHOSMANMUT-MONOMER,cpsG
protein YdcH,EG12865-MONOMER,ydcH
ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator,CPLX0-7678,
fused PutA transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase,PUTA-MONOMER,putA
DLP12 prophage; putative SAM-dependent methyltransferase,G6316-MONOMER,ybcY
cardiolipin synthase B,G6406-MONOMER,clsB
negative regulator of MalT activity/cystathionine &beta;-lyase,CPLX0-8092,
