bact:GLTD_ECOLI	Glutamate synthase [NADPH] small chain (EC 1.4.1.13) (Glutamate synthase subunit beta) (GLTS beta chain) (NADPH-GOGAT)	uniprot:P09832	gltD aspB b3213 JW3180
bact:GLTI_ECOLI	Glutamate/aspartate import solute-binding protein	uniprot:P37902	gltI ybeJ yzzK b0655 JW5092
bact:GLTJ_ECOLI	Glutamate/aspartate import permease protein GltJ	uniprot:P0AER3	gltJ b0654 JW0649
bact:GLTK_ECOLI	Glutamate/aspartate import permease protein GltK	uniprot:P0AER5	gltK b0653 JW0648
bact:GLTL_ECOLI	Glutamate/aspartate import ATP-binding protein GltL (EC 3.6.3.21)	uniprot:P0AAG3	gltL b0652 JW0647
bact:GLTP_ECOLI	Proton/glutamate-aspartate symporter (Glutamate-aspartate carrier protein) (Proton-glutamate-aspartate transport protein)	uniprot:P21345	gltP b4077 JW4038
bact:GLTS_ECOLI	Sodium/glutamate symporter (Glutamate permease)	uniprot:P0AER8	gltS gltC b3653 JW3628
bact:GLXK1_ECOLI	Glycerate 2-kinase (EC 2.7.1.165) (Glycerate kinase 1) (GK1)	uniprot:P23524	garK yhaD b3124 JW3093
bact:GLXK2_ECOLI	Glycerate 3-kinase (EC 2.7.1.31) (D-Glycerate-3-kinase) (Glycerate kinase 2) (GK2)	uniprot:P77364	glxK glxB5 ybbZ b0514 JW0502
bact:GLXR_ECOLI	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60) (Tartronate semialdehyde reductase) (TSAR)	uniprot:P77161	glxR glxB1 ybbQ b0509 JW0497
bact:GLYA_ECOLI	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	uniprot:P0A825	glyA b2551 JW2535
bact:GM4D_ECOLI	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	uniprot:P0AC88	gmd yefA yefN b2053 JW2038
bact:GMHA_ECOLI	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	uniprot:P63224	gmhA lpcA tfrA yafI b0222 JW0212
bact:GMHBB_ECOLI	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	uniprot:P63228	gmhB yaeD b0200 JW0196
bact:GMM_ECOLI	GDP-mannose mannosyl hydrolase (GDPMH) (EC 3.6.1.-) (Colanic acid biosynthesis protein WcaH)	uniprot:P32056	gmm nudD wcaH yefC b2051 JW5335
bact:GNTK_ECOLI	Thermoresistant gluconokinase (EC 2.7.1.12) (Gluconate kinase 2)	uniprot:P46859	gntK b3437 JW3400
bact:GNTP_ECOLI	High-affinity gluconate transporter (Gluconate permease 3) (Gnt-III system)	uniprot:P0AC94	gntP yjiB b4321 JW4284
bact:GNTT_ECOLI	High-affinity gluconate transporter (Gluconate permease) (Gnt-I system)	uniprot:P39835	gntT gntM usgA yhgC b3415 JW5690
bact:GNTU_ECOLI	Low-affinity gluconate transporter (Gluconate permease) (Gnt-I system)	uniprot:P0AC96	gntU b4476 JW5686
bact:GPDA_ECOLI	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	uniprot:P0A6S7	gpsA b3608 JW3583
bact:GPH_ECOLI	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)	uniprot:P32662	gph yhfE b3385 JW3348
bact:GPMA_ECOLI	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	uniprot:P62707	gpmA gpm pgm pgmA b0755 JW0738
bact:GPMB_ECOLI	Probable phosphoglycerate mutase GpmB (EC 5.4.2.-) (PGAM) (Phosphoglyceromutase)	uniprot:P0A7A2	gpmB ytjC b4395 JW4358
bact:GPMI_ECOLI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	uniprot:P37689	gpmI pgmI yibO b3612 JW3587
bact:GPPA_ECOLI	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40) (Guanosine pentaphosphate phosphohydrolase) (pppGpp-5'-phosphohydrolase)	uniprot:P25552	gppA gpp b3779 JW5603
bact:GPR_ECOLI	L-glyceraldehyde 3-phosphate reductase (GAP reductase) (EC 1.1.1.-)	uniprot:Q46851	gpr mgrA yghZ b3001 JW2970
bact:GRCA_ECOLI	Autonomous glycyl radical cofactor	uniprot:P68066	grcA yfiD b2579 JW2563
bact:GSA_ECOLI	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	uniprot:P23893	hemL gsa popC b0154 JW0150
bact:GSH1_ECOLI	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)	uniprot:P0A6W9	gshA gsh-I b2688 JW2663
bact:GSHB_ECOLI	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	uniprot:P04425	gshB gsh-II b2947 JW2914
bact:GSHR_ECOLI	Glutathione reductase (GR) (GRase) (EC 1.8.1.7)	uniprot:P06715	gor b3500 JW3467
bact:GSIA_ECOLI	Glutathione import ATP-binding protein GsiA (EC 3.6.3.-)	uniprot:P75796	gsiA yliA b0829 JW5897
bact:GSIB_ECOLI	Glutathione-binding protein GsiB	uniprot:P75797	gsiB yliB b0830 JW5111
bact:GSIC_ECOLI	Glutathione transport system permease protein GsiC	uniprot:P75798	gsiC yliC b0831 JW0815
bact:GSID_ECOLI	Glutathione transport system permease protein GsiD	uniprot:P75799	gsiD yliD b0832 JW0816
bact:GSP_ECOLI	Bifunctional glutathionylspermidine synthetase/amidase (GspSA) [Includes: Glutathionylspermidine amidase (Gsp amidase) (EC 3.5.1.78) (Glutathionylspermidine amidohydrolase [spermidine-forming]); Glutathionylspermidine synthetase (Gsp synthetase) (EC 6.3.1.8) (Glutathione:spermidine ligase [ADP-forming]) (Gsp synthase)]	uniprot:P0AES0	gss gsp b2988 JW2956
bact:GUAA_ECOLI	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)	uniprot:P04079	guaA b2507 JW2491
bact:GUAC_ECOLI	GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	uniprot:P60560	guaC b0104 JW0101
bact:GUAD_ECOLI	Guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH)	uniprot:P76641	guaD ygfP b2883 JW5466
bact:GUDD_ECOLI	Glucarate dehydratase (GDH) (GlucD) (EC 4.2.1.40)	uniprot:P0AES2	gudD ygcX b2787 JW2758
bact:GUDP_ECOLI	Probable glucarate transporter (D-glucarate permease)	uniprot:Q46916	gudP ygcZ b2789 JW2760
bact:GUDX_ECOLI	Glucarate dehydratase-related protein (GDH-RP) (GlucDRP) (EC 4.2.1.-)	uniprot:Q46915	gudX ygcY b2788 JW2759
bact:GUTQ_ECOLI	Arabinose 5-phosphate isomerase GutQ (API) (G-API) (EC 5.3.1.13) (Phosphosugar aldol-ketol isomerase)	uniprot:P17115	gutQ srlQ b2708 JW5431
bact:HCAB_ECOLI	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)	uniprot:P0CI31	hcaB phdD yfhX b2541 JW2525
bact:HCAC_ECOLI	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit	uniprot:P0ABW0	hcaC hcaA3 phdB yfhW b2540 JW2524
bact:HCAD_ECOLI	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component (EC 1.18.1.3)	uniprot:P77650	hcaD hcaA4 phdA yfhY b2542 JW2526
bact:HCAE_ECOLI	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	uniprot:P0ABR5	hcaE digA hcaA hcaA1 phdC1 yfhU b2538 JW2522
bact:HCAF_ECOLI	3-phenylpropionate/cinnamic acid dioxygenase subunit beta (EC 1.14.12.19)	uniprot:Q47140	hcaF digB hcaA2 hcaB phdC2 yfhV b2539 JW2523
bact:HCAT_ECOLI	Probable 3-phenylpropionic acid transporter	uniprot:Q47142	hcaT yfhS b2536 JW2520
bact:HEM1_ECOLI	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	uniprot:P0A6X1	hemA b1210 JW1201
bact:HEM2_ECOLI	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	uniprot:P0ACB2	hemB ncf b0369 JW0361
bact:HEM3_ECOLI	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	uniprot:P06983	hemC popE b3805 JW5932
bact:HEM4_ECOLI	Uroporphyrinogen-III synthase (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	uniprot:P09126	hemD b3804 JW3776
bact:HEM6_ECOLI	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	uniprot:P36553	hemF b2436 JW2429
bact:HEMG_ECOLI	Protoporphyrinogen IX dehydrogenase [menaquinone] (EC 1.3.5.3)	uniprot:P0ACB4	hemG yihB b3850 JW3827
bact:HEMH_ECOLI	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	uniprot:P23871	hemH popA visA b0475 JW0464
bact:HEMN_ECOLI	Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH)	uniprot:P32131	hemN yihJ b3867 JW3838
bact:HEMX_ECOLI	Putative uroporphyrinogen-III C-methyltransferase (Urogen-III methylase) (EC 2.1.1.107) (ORF X)	uniprot:P09127	hemX b3803 JW3775
bact:HIS1_ECOLI	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	uniprot:P60757	hisG b2019 JW2001
bact:HIS2_ECOLI	Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)]	uniprot:P06989	hisI hisIE b2026 JW2008
bact:HIS4_ECOLI	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	uniprot:P10371	hisA b2024 JW2006
bact:HIS5_ECOLI	Imidazole glycerol phosphate synthase subunit HisH (EC 2.4.2.-) (IGP synthase glutamine amidotransferase subunit) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	uniprot:P60595	hisH b2023 JW2005
bact:HIS6_ECOLI	Imidazole glycerol phosphate synthase subunit HisF (EC 4.1.3.-) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	uniprot:P60664	hisF b2025 JW2007
bact:HIS7_ECOLI	Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase (EC 3.1.3.15); Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)]	uniprot:P06987	hisB b2022 JW2004
bact:HIS8_ECOLI	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase) (HPAT) (HspAT)	uniprot:P06986	hisC b2021 JW2003
bact:HISJ_ECOLI	Histidine-binding periplasmic protein (HBP)	uniprot:P0AEU0	hisJ b2309 JW2306
bact:HISM_ECOLI	Histidine transport system permease protein HisM	uniprot:P0AEU3	hisM b2307 JW2304
bact:HISP_ECOLI	Histidine transport ATP-binding protein HisP	uniprot:P07109	hisP b2306 JW2303
bact:HISQ_ECOLI	Histidine transport system permease protein HisQ	uniprot:P52094	hisQ b2308 JW2305
bact:HISX_ECOLI	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	uniprot:P06988	hisD b2020 JW2002
bact:HLDD_ECOLI	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	uniprot:P67910	hldD htrM rfaD waaD b3619 JW3594
bact:HLDE_ECOLI	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	uniprot:P76658	hldE rfaE waaE yqiF b3052 JW3024
bact:HMP_ECOLI	Flavohemoprotein (Flavohemoglobin) (HMP) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	uniprot:P24232	hmp fsrB hmpA b2552 JW2536
bact:HOA_ECOLI	4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase)	uniprot:P51020	mhpE b0352 JW0343
bact:HPPK_ECOLI	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)	uniprot:P26281	folK b0142 JW0138
bact:HPRT_ECOLI	Hypoxanthine phosphoribosyltransferase (HPRT) (EC 2.4.2.8)	uniprot:P0A9M2	hpt b0125 JW5009
bact:HSCC_ECOLI	Chaperone protein HscC (Hsc62)	uniprot:P77319	hscC ybeW b0650 JW0645
bact:HYBA_ECOLI	Hydrogenase-2 operon protein HybA	uniprot:P0AAJ8	hybA b2996 JW2964
bact:HYBB_ECOLI	Probable Ni/Fe-hydrogenase 2 b-type cytochrome subunit	uniprot:P37180	hybB b2995 JW5494
bact:HYCB_ECOLI	Formate hydrogenlyase subunit 2 (FHL subunit 2) (Hydrogenase-3 component B)	uniprot:P0AAK1	hycB hevB b2724 JW2694
bact:HYCC_ECOLI	Formate hydrogenlyase subunit 3 (FHL subunit 3) (Hydrogenase-3 component C)	uniprot:P16429	hycC hevC b2723 JW2693
bact:HYCD_ECOLI	Formate hydrogenlyase subunit 4 (FHL subunit 4) (Hydrogenase 3 component D)	uniprot:P16430	hycD hevD b2722 JW2692
bact:HYCE_ECOLI	Formate hydrogenlyase subunit 5 (FHL subunit 5) (Hydrogenase-3 component E)	uniprot:P16431	hycE hevE b2721 JW2691
bact:HYCF_ECOLI	Formate hydrogenlyase subunit 6 (FHL subunit 6) (Hydrogenase-3 component F)	uniprot:P16432	hycF hevF b2720 JW2690
bact:HYCG_ECOLI	Formate hydrogenlyase subunit 7 (FHL subunit 7) (Hydrogenase-3 component G)	uniprot:P16433	hycG hevG b2719 JW2689
bact:HYFA_ECOLI	Hydrogenase-4 component A (EC 1.-.-.-)	uniprot:P23481	hyfA yffE b2481 JW2466
bact:HYFB_ECOLI	Hydrogenase-4 component B (EC 1.-.-.-)	uniprot:P23482	hyfB yffF b2482 JW2467
bact:HYFC_ECOLI	Hydrogenase-4 component C (EC 1.-.-.-)	uniprot:P77858	hyfC b2483 JW2468
bact:HYFD_ECOLI	Hydrogenase-4 component D (EC 1.-.-.-)	uniprot:P77416	hyfD b2484 JW2469
bact:HYFE_ECOLI	Hydrogenase-4 component E (EC 1.-.-.-)	uniprot:P0AEW1	hyfE b2485 JW2470
bact:HYFF_ECOLI	Hydrogenase-4 component F (EC 1.-.-.-)	uniprot:P77437	hyfF b2486 JW2471
bact:HYFG_ECOLI	Hydrogenase-4 component G (EC 1.-.-.-)	uniprot:P77329	hyfG b2487 JW2472
bact:HYFH_ECOLI	Hydrogenase-4 component H	uniprot:P77423	hyfH b2488 JW2473
bact:HYFI_ECOLI	Hydrogenase-4 component I (EC 1.-.-.-)	uniprot:P77668	hyfI b2489 JW5805
bact:HYFJ_ECOLI	Hydrogenase-4 component J (EC 1.-.-.-)	uniprot:P77453	hyfJ b2490 JW2475
bact:HYI_ECOLI	Hydroxypyruvate isomerase (EC 5.3.1.22) (Glyoxylate-induced protein)	uniprot:P30147	hyi gip ybbG b0508 JW0496
bact:IAAA_ECOLI	Isoaspartyl peptidase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (EcAIII) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase subunit alpha; Isoaspartyl peptidase subunit beta]	uniprot:P37595	iaaA spt ybiK b0828 JW0812
bact:IDH_ECOLI	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	uniprot:P08200	icd icdA icdE b1136 JW1122
bact:IDI_ECOLI	Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase)	uniprot:Q46822	idi ygfV b2889 JW2857
bact:IDND_ECOLI	L-idonate 5-dehydrogenase (NAD(P)(+)) (EC 1.1.1.264)	uniprot:P39346	idnD yjgV b4267 JW4224
bact:IDNK_ECOLI	Thermosensitive gluconokinase (EC 2.7.1.12) (Gluconate kinase 1)	uniprot:P39208	idnK gntV b4268 JW4225
bact:IDNO_ECOLI	Gluconate 5-dehydrogenase (EC 1.1.1.69) (5-keto-D-gluconate 5-reductase)	uniprot:P0A9P9	idnO yjgU b4266 JW4223
bact:IDNT_ECOLI	Gnt-II system L-idonate transporter (L-Ido transporter) (5-keto-D-gluconate transporter)	uniprot:P39344	idnT gntW yjgT b4265 JW4222
bact:ILVA_ECOLI	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	uniprot:P04968	ilvA b3772 JW3745
bact:ILVB_ECOLI	Acetolactate synthase isozyme 1 large subunit (AHAS-I) (EC 2.2.1.6) (Acetohydroxy-acid synthase I large subunit) (ALS-I)	uniprot:P08142	ilvB b3671 JW3646
bact:ILVC_ECOLI	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	uniprot:P05793	ilvC b3774 JW3747
bact:ILVD_ECOLI	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	uniprot:P05791	ilvD b3771 JW5605
bact:ILVE_ECOLI	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B)	uniprot:P0AB80	ilvE b3770 JW5606
bact:ILVH_ECOLI	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	uniprot:P00894	ilvH brnP b0078 JW0077
bact:ILVI_ECOLI	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	uniprot:P00893	ilvI b0077 JW0076
bact:ILVN_ECOLI	Acetolactate synthase isozyme 1 small subunit (EC 2.2.1.6) (Acetohydroxy-acid synthase I small subunit) (AHAS-I) (ALS-I)	uniprot:P0ADF8	ilvN b3670 JW3645
bact:IMDH_ECOLI	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	uniprot:P0ADG7	guaB guaR b2508 JW5401
bact:INGK_ECOLI	Inosine-guanosine kinase (EC 2.7.1.73)	uniprot:P0AEW6	gsk b0477 JW0466
bact:IPYR_ECOLI	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	uniprot:P0A7A9	ppa b4226 JW4185
bact:ISCA_ECOLI	Iron-binding protein IscA (Iron-sulfur cluster assembly protein)	uniprot:P0AAC8	iscA yfhF b2528 JW2512
bact:ISCS_ECOLI	Cysteine desulfurase IscS (EC 2.8.1.7) (NifS protein homolog) (ThiI transpersulfidase) (TusA transpersulfidase)	uniprot:P0A6B7	iscS nuvC yfhO yzzO b2530 JW2514
bact:ISCU_ECOLI	Iron-sulfur cluster assembly scaffold protein IscU (Sulfur acceptor protein IscU)	uniprot:P0ACD4	iscU nifU yfhN b2529 JW2513
bact:ISPA_ECOLI	Farnesyl diphosphate synthase (FPP synthase) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Geranyltranstransferase)	uniprot:P22939	ispA b0421 JW0411
bact:ISPB_ECOLI	Octaprenyl diphosphate synthase (EC 2.5.1.90) (All-trans-octaprenyl-diphosphate synthase) (Octaprenyl pyrophosphate synthase) (OPP synthase)	uniprot:P0AD57	ispB cel yhbD b3187 JW3154
bact:ISPD_ECOLI	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (CDP-ME synthase) (MEP cytidylyltransferase) (MCT)	uniprot:Q46893	ispD ygbP b2747 JW2717
bact:ISPE_ECOLI	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	uniprot:P62615	ispE ipk ychB b1208 JW1199
bact:ISPF_ECOLI	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	uniprot:P62617	ispF mecS ygbB b2746 JW2716
bact:ISPG_ECOLI	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase) (Protein GcpE) (Protein E)	uniprot:P62620	ispG gcpE b2515 JW2499
bact:ISPH_ECOLI	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)	uniprot:P62623	ispH lytB yaaE b0029 JW0027
bact:IXTPA_ECOLI	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Deoxyribonucleoside triphosphate pyrophosphohydrolase) (Inosine triphosphate pyrophosphatase) (ITPase) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	uniprot:P52061	rdgB yggV b2954 JW2921
bact:K1PF_ECOLI	1-phosphofructokinase (EC 2.7.1.56) (Fructose 1-phosphate kinase)	uniprot:P0AEW9	fruK fpk b2168 JW2155
bact:KAD_ECOLI	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	uniprot:P69441	adk dnaW plsA b0474 JW0463
bact:KATG_ECOLI	Catalase-peroxidase (CP) (EC 1.11.1.21) (Hydroperoxidase I) (HPI) (Peroxidase/catalase)	uniprot:P13029	katG b3942 JW3914
bact:KBAY_ECOLI	D-tagatose-1,6-bisphosphate aldolase subunit KbaY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Ketose 1,6-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)	uniprot:P0AB74	kbaY agaY kba yraC b3137 JW3106
bact:KBAZ_ECOLI	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ	uniprot:P0C8K0	kbaZ agaZ yhaX b3132 JW3101
bact:KBL_ECOLI	2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase)	uniprot:P0AB77	kbl b3617 JW3592
bact:KCH_ECOLI	Voltage-gated potassium channel Kch	uniprot:P31069	kch b1250 JW1242
bact:KCY_ECOLI	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase) (Protein MssA) (p25)	uniprot:P0A6I0	cmk mssA ycaF ycaG b0910 JW0893
bact:KDGK_ECOLI	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45) (2-keto-3-deoxygluconokinase) (3-deoxy-2-oxo-D-gluconate kinase) (KDG kinase)	uniprot:P37647	kdgK yhjI b3526 JW5668
bact:KDGL_ECOLI	Diacylglycerol kinase (DAGK) (EC 2.7.1.107) (Diglyceride kinase) (DGK)	uniprot:P0ABN1	dgkA b4042 JW4002
bact:KDGT_ECOLI	2-keto-3-deoxygluconate permease (KDG permease)	uniprot:P0A712	kdgT b3909 JW5560
bact:KDPA_ECOLI	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	uniprot:P03959	kdpA b0698 JW0686
bact:KDPB_ECOLI	Potassium-transporting ATPase ATP-binding subunit (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	uniprot:P03960	kdpB b0697 JW0685
bact:KDPC_ECOLI	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	uniprot:P03961	kdpC b0696 JW0684
bact:KDPF_ECOLI	Potassium-transporting ATPase KdpF subunit (ATP phosphohydrolase [potassium-transporting] F chain) (Potassium-binding and translocating subunit F) (Potassium-translocating ATPase F chain)	uniprot:P36937	kdpF b4513 JW0687
bact:KDSA_ECOLI	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	uniprot:P0A715	kdsA b1215 JW1206
bact:KDSB_ECOLI	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase)	uniprot:P04951	kdsB b0918 JW0901
bact:KDSC_ECOLI	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase)	uniprot:P0ABZ4	kdsC yrbI yrbJ b3198 JW3165
bact:KDSD_ECOLI	Arabinose 5-phosphate isomerase KdsD (API) (L-API) (EC 5.3.1.13)	uniprot:P45395	kdsD yrbH b3197 JW3164
bact:KDTA_ECOLI	3-deoxy-D-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.12) (EC 2.4.99.13) (Bifunctional Kdo transferase) (Kdo-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase)	uniprot:P0AC75	waaA kdtA b3633 JW3608
